Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,SRADV.H-1 (watt) ,RHUMV.H-1 (pct) ,RHUMX.H-1 (pct) 
674,1/1/17,0:00,5,-99.9,-14.2,12.8,10.8,12,-0.3,0.7,3.7,0.2,0.2,0.2,8.49,7.66,8.09,12.61,12.68,3.32,90,6.6,4.8,0,89,93
674,1/1/17,1:00,5,-99.9,-14.4,12.8,10.9,12,-0.3,0.7,3.7,0.2,0.2,0.2,8.49,7.71,8.09,12.58,12.65,-99.9,39,5.9,4,0,89,91
674,1/1/17,2:00,5,-99.9,-15.9,12.9,11.1,12.2,-0.3,0.7,3.7,0.2,0.2,0.2,8.52,7.79,8.17,12.57,12.64,-99.9,29,5.5,2.8,0,87,91
674,1/1/17,3:00,5,-99.9,-17.2,12.7,11.2,12.4,-0.3,0.7,3.7,0.2,0.2,0.2,8.44,7.83,8.26,12.56,12.63,-99.9,348,4.2,2,0,86,88
674,1/1/17,4:00,5,-99.9,-15.8,12.8,11,12,-0.3,0.7,3.7,0.2,0.2,0.2,8.52,7.75,8.09,12.54,12.62,-99.9,332,6.9,3.9,0,88,93
674,1/1/17,5:00,5,-99.9,-13.4,12.7,10.8,12.2,-0.3,0.7,3.6,0.2,0.2,0.2,8.47,7.66,8.17,12.45,12.52,-99.9,337,5.9,4,0,89,93
674,1/1/17,6:00,5,-99.9,-9.7,12.7,11.1,12.2,-0.3,0.7,3.6,0.2,0.2,0.2,8.44,7.79,8.18,12.53,12.6,-99.9,334,7.9,5.2,0,93,94
674,1/1/17,7:00,5,-99.9,-10.4,12.5,10.9,12.1,-0.3,0.7,3.6,0.2,0.2,0.2,8.36,7.7,8.13,12.38,12.44,-99.9,329,10.2,5.7,0,93,94
674,1/1/17,8:00,5,-99.9,-15.3,12.5,10.9,11.8,-0.3,0.7,3.6,0.2,0.2,0.2,8.38,7.7,8.04,12.66,12.73,-99.9,5,3.6,1.8,11.6,89,91
674,1/1/17,9:00,5,-99.9,-11.5,12.5,11.1,12.2,-0.3,0.7,3.6,0.2,0.2,0.2,8.35,7.78,8.17,14.26,14.35,-99.9,42,4.7,3,163.92,88,89
674,1/1/17,10:00,5,-99.9,-8,12.3,10.8,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.3,7.66,8.13,14.2,14.29,-99.9,54,5.4,2.5,315.32,89,91
674,1/1/17,11:00,5,-99.9,-6.6,12.2,10.8,12.4,-0.3,0.6,3.6,0.2,0.2,0.2,8.27,7.65,8.26,14.13,14.22,-99.9,112,4.2,2.4,403.54,87,91
674,1/1/17,12:00,5,-99.9,-4.4,12.1,11.1,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.19,7.78,8.17,14.11,14.2,-99.9,266,4.5,1.8,454.21,67,81
674,1/1/17,13:00,5,-99.9,-3.1,12.1,11.1,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.21,7.78,8.17,14.09,14.18,-99.9,60,5.2,2.8,449.33,61,69
674,1/1/17,14:00,5.1,-99.9,-6.2,12,10.9,12.3,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.69,8.21,14.05,14.14,-99.9,179,7.5,4.9,353.48,65,79
674,1/1/17,15:00,5.1,-99.9,-5.9,12,11.1,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.78,8.13,14.09,14.18,-99.9,205,8.6,5.2,161.17,83,85
674,1/1/17,16:00,5,-99.9,-7.1,11.9,11.1,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.14,7.78,8.13,12.87,12.95,-99.9,128,8.5,3.8,50.98,83,88
674,1/1/17,17:00,5,-99.9,-8.6,12.1,11.1,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.22,7.78,8.13,12.95,13.02,-99.9,87,8,4.9,3.36,90,92
674,1/1/17,18:00,5,-99.9,-9.2,12.1,10.9,12.3,-0.3,0.6,3.6,0.2,0.2,0.2,8.19,7.69,8.23,12.88,12.95,-99.9,98,5.6,3.1,0,92,93
674,1/1/17,19:00,5,-99.9,-10.7,12.1,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.2,7.61,8.14,12.83,12.91,-99.9,216,5.9,2.8,0,92,94
674,1/1/17,20:00,5,-99.9,-9.5,12,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.61,8.14,12.82,12.89,-99.9,24,4.8,3,0,93,94
674,1/1/17,21:00,5,-99.9,-8,12.1,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.2,7.61,8.14,12.79,12.87,-99.9,34,6.6,3,0,92,93
674,1/1/17,22:00,5,-99.9,-8.2,11.9,11,12,-0.3,0.6,3.6,0.2,0.2,0.2,8.12,7.73,8.09,12.6,12.67,-99.9,324,10.5,3.5,0,92,93
674,1/1/17,23:00,5,-99.9,-7.3,12,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.61,8.14,12.56,12.63,-99.9,314,10.3,7.1,0,93,93
674,1/2/17,0:00,5,-99.9,-7.4,11.9,11,12,-0.3,0.6,3.6,0.2,0.2,0.2,8.12,7.73,8.09,12.49,12.57,3.32,308,6.7,3.9,0,93,94
674,1/2/17,1:00,5,-99.9,-8,12.1,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.19,7.64,8.14,12.59,12.66,-99.9,302,9.1,6,0,93,93
674,1/2/17,2:00,5,-99.9,-8.5,12.1,10.7,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.22,7.64,8.15,12.46,12.53,-99.9,314,7.5,3.7,0,93,93
674,1/2/17,3:00,5,-99.9,-10.3,11.9,11,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.14,7.73,8.18,12.44,12.51,-99.9,284,6.9,3.2,0,92,93
674,1/2/17,4:00,5,-99.9,-9.3,11.9,10.7,12,-0.3,0.6,3.6,0.2,0.2,0.2,8.14,7.61,8.11,12.57,12.64,-99.9,38,4.7,2.5,0,93,93
674,1/2/17,5:00,5,-99.9,-10.4,11.9,10.7,12.3,-0.3,0.6,3.6,0.2,0.2,0.2,8.14,7.61,8.23,12.42,12.49,-99.9,78,3.7,1.3,0,92,93
674,1/2/17,6:00,5,-99.9,-9.1,11.9,11,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.11,7.73,8.17,12.56,12.63,-99.9,55,6.4,3,0,92,93
674,1/2/17,7:00,5,-99.9,-9.1,11.9,10.9,12.4,-0.3,0.6,3.6,0.2,0.2,0.2,8.14,7.69,8.26,12.56,12.63,-99.9,140,7.4,2.5,0,92,93
674,1/2/17,8:00,5,-99.9,-8.7,12,10.6,11.9,-0.3,0.6,3.6,0.2,0.2,0.2,8.17,7.6,8.06,12.62,12.69,-99.9,77,7.2,3.7,12.21,92,94
674,1/2/17,9:00,5,-99.9,-8.1,11.9,10.9,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.13,7.69,8.2,14,14.08,-99.9,109,7.1,5.2,52.2,92,93
674,1/2/17,10:00,5,-99.9,-6.2,12,11.1,12.2,-0.3,0.6,3.6,0.2,0.2,0.2,8.17,7.78,8.17,14.17,14.27,-99.9,122,6.9,4.5,134.31,86,91
674,1/2/17,11:00,5,-99.9,-3.6,12,10.9,12.1,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.69,8.14,14.12,14.21,-99.9,145,4.8,2.2,269.84,74,80
674,1/2/17,12:00,5,-99.9,-2.5,12,10.9,12.3,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.69,8.23,14.11,14.19,-99.9,132,10.8,6.7,245.42,73,79
674,1/2/17,13:00,5,-99.9,-1.1,11.9,10.9,12.3,-0.3,0.6,3.6,0.2,0.2,0.2,8.13,7.72,8.21,14.08,14.15,-99.9,128,14.2,9.7,417.58,71,75
674,1/2/17,14:00,5,-99.9,-1.9,12,10.9,12.4,-0.3,0.6,3.6,0.2,0.2,0.2,8.16,7.72,8.26,14.06,14.15,-99.9,118,12.8,9.3,370.88,71,73
