Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,TOBS.I-1 (degC) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,WDIRV.H-1 (degr) ,WSPDX.H-1 (mph) ,WSPDV.H-1 (mph) ,SRADV.H-1 (watt) ,RHUMV.H-1 (pct) ,RHUMX.H-1 (pct) 
674,1/1/12,0:00,2.8,2.4,-3,18.2,0,17.6,-0.6,-0.6,1.6,0.2,-1.1,0.2,10.93,-2.76,10.61,12.78,13.35,3.31,90,5.9,4.1,0,92,95
674,1/1/12,1:00,2.8,2.4,-1.8,18,0,17.6,-0.6,-0.6,1.6,0.2,-1.3,0.2,10.83,-2.28,10.61,12.73,13.32,-99.9,105,9.1,5.6,0,85,87
674,1/1/12,2:00,2.8,2.4,-2.3,17.8,0,17.6,-0.6,-0.6,1.6,0.2,-1.3,0.2,10.72,-2.28,10.61,12.71,13.28,-99.9,115,5.3,3.3,0,83,85
674,1/1/12,3:00,2.8,2.4,-5.1,17.9,0,17.5,-0.6,-0.6,1.6,0.2,-1.4,0.2,10.75,-2.28,10.52,12.69,13.26,-99.9,113,6.2,4.3,0,90,93
674,1/1/12,4:00,2.8,2.4,-2.9,17.7,0,17.6,-0.6,-0.6,1.6,0.2,-1.6,0.2,10.69,-1.93,10.61,12.68,13.23,-99.9,67,4.8,3.2,0,93,95
674,1/1/12,5:00,2.8,2.4,-3.7,17.6,0,17.6,-0.6,-0.6,1.6,0.2,-1.1,0.2,10.63,-2.76,10.58,12.58,13.21,-99.9,91,4.8,2.5,0,88,91
674,1/1/12,6:00,2.8,2.4,-3.7,17.4,0,17.6,-0.6,-0.6,1.6,0.2,-1.9,0.2,10.54,-1.65,10.61,12.65,13.18,-99.9,235,5.3,2.4,0,91,92
674,1/1/12,7:00,2.8,2.4,-3.2,17.2,0,17.6,-0.6,-0.6,1.6,0.2,-1.1,0.2,10.46,-2.76,10.58,12.64,13.16,-99.9,134,5.9,3.4,0,88,90
674,1/1/12,8:00,2.8,2.4,-1.9,17.1,0,17.5,-0.6,-0.6,1.6,0.2,-1.4,0.2,10.41,-2.28,10.52,12.71,13.13,-99.9,119,6.5,3.4,31.75,87,90
674,1/1/12,9:00,2.8,2.4,0.5,17,0,17.6,-0.6,-0.6,1.6,0.2,-1.9,0.2,10.35,-1.65,10.58,13.24,14.46,-99.9,144,9.8,4.9,179.18,77,85
