
Idaho (PST) SNOTEL Site Wilson Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 27 08:33:59 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
871,2013-01-01,00:00,     4.4,     7.6,   -11.6,      23,     9.4,    18.6,     5.0,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.15,   11.09,    5.52,   12.69,   13.52,
871,2013-01-01,01:00,     4.5,     7.6,   -12.1,      23,     9.3,    18.4,     5.0,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.11,   11.01,    5.52,   12.57,   13.50,
871,2013-01-01,02:00,     4.5,     7.6,   -11.3,      23,     9.4,    18.4,     5.0,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.14,   11.01,    5.52,   12.62,   13.48,
871,2013-01-01,03:00,     4.5,     7.6,   -10.5,      22,     9.4,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.14,   11.01,    5.57,   12.57,   13.46,
871,2013-01-01,04:00,     4.4,     7.6,   -13.8,      22,     9.3,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.10,   11.01,    5.57,   12.51,   13.43,
871,2013-01-01,05:00,     4.4,     7.6,   -13.1,      23,     9.3,    18.4,     4.9,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.10,   11.01,    5.48,   12.42,   13.41,
871,2013-01-01,06:00,     4.4,     7.6,   -11.4,      22,     9.3,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.10,   11.01,    5.57,   12.46,   13.39,
871,2013-01-01,07:00,     4.4,     7.6,   -12.1,      23,     9.1,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.05,   11.01,    5.57,   12.48,   13.37,
871,2013-01-01,08:00,     4.4,     7.6,   -10.2,      22,     9.3,    18.5,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.09,   11.04,    5.57,   14.31,   13.36,
871,2013-01-01,09:00,     4.5,     7.6,    -8.8,      22,     9.4,    18.3,     5.0,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.13,   10.96,    5.52,   14.28,   13.34,
871,2013-01-01,10:00,     4.5,     7.7,    -5.3,      22,     9.8,    18.3,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.31,   10.96,    5.57,   14.24,   13.33,
871,2013-01-01,11:00,     4.5,     7.8,    -4.3,      22,    10.4,    18.4,     4.9,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.53,   11.03,    5.48,   14.20,   13.32,
871,2013-01-01,12:00,     4.6,     7.8,    -5.7,-99.9,    10.3,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.48,   11.03,    5.57,   14.17,   13.31,
871,2013-01-01,13:00,     4.6,     7.8,    -6.7,-99.9,    10.2,    18.3,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.47,   10.98,    5.57,   14.15,   14.91,
871,2013-01-01,14:00,     4.6,     7.8,    -5.8,-99.9,     9.9,    18.3,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.35,   10.98,    5.57,   14.15,   14.91,
871,2013-01-01,15:00,     4.6,     7.8,    -5.4,-99.9,    10.0,    18.3,     5.3,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.38,   10.98,    5.62,   14.15,   14.81,
871,2013-01-01,16:00,     4.6,     7.7,    -7.9,-99.9,     9.7,    18.3,     5.1,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.26,   10.95,    5.53,   13.79,   13.92,
871,2013-01-01,17:00,     4.5,     7.7,    -8.3,-99.9,     9.8,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.29,   11.03,    5.57,   13.34,   13.79,
871,2013-01-01,18:00,     4.5,     7.7,    -7.7,      22,     9.6,    18.3,     5.1,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.21,   10.98,    5.53,   13.24,   13.72,
871,2013-01-01,19:00,     4.5,     7.7,    -6.4,      22,     9.7,    18.5,     5.0,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.24,   11.05,    5.48,   13.05,   13.66,
871,2013-01-01,20:00,     4.5,     7.7,    -7.2,      22,     9.8,    18.2,     5.1,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.29,   10.93,    5.54,   12.93,   13.61,
871,2013-01-01,21:00,     4.5,     7.7,    -8.4,      22,     9.7,    18.2,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.24,   10.93,    5.57,   12.64,   13.58,
871,2013-01-01,22:00,     4.5,     7.7,    -8.8,      22,     9.7,    18.3,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.24,   10.98,    5.58,   12.73,   13.55,
871,2013-01-01,23:00,     4.5,     7.7,    -8.7,      22,     9.5,    18.3,     5.1,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.19,   10.98,    5.53,   12.73,   13.52,
871,2013-01-02,00:00,     4.4,     7.6,    -8.1,      22,     9.6,    18.3,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.24,   10.98,    5.59,   12.72,   13.49,
871,2013-01-02,01:00,     4.5,     7.7,    -7.4,      22,     9.7,    18.3,     5.1,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.27,   10.98,    5.54,   12.69,   13.47,
871,2013-01-02,02:00,     4.5,     7.7,    -5.9,      22,     9.7,    18.4,     5.2,    -1.0,    -0.2,     0.7,     0.2,     0.1,     0.2,    7.27,   11.00,    5.58,   12.69,   13.45,
