
Idaho (PST) SNOTEL Site Wilson Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 27 08:33:16 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
871,2015-01-01,00:00,     7.7,    12.1,    -8.3,      32,    17.0,    29.8,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.35,   17.94,    7.65,   12.69,   12.65,
871,2015-01-01,01:00,     7.7,    12.1,    -6.7,      32,    17.1,    29.9,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.41,   17.95,    7.65,   12.73,   12.65,
871,2015-01-01,02:00,     7.7,    12.1,   -10.5,-99.9,    16.9,    29.9,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.32,   17.95,    7.65,   12.77,   12.65,
871,2015-01-01,03:00,     7.7,    12.2,    -7.6,-99.9,    16.9,    29.9,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.30,   17.95,    7.67,   12.78,   12.65,
871,2015-01-01,04:00,     7.7,    12.1,   -16.0,-99.9,    16.9,    29.9,    10.7,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.32,   17.95,    7.62,   12.78,   12.65,
871,2015-01-01,05:00,     7.7,    12.1,    -8.8,      32,    17.0,    29.9,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.36,   17.95,    7.66,   12.63,   12.64,
871,2015-01-01,06:00,     7.7,    12.1,   -11.6,      31,    17.1,    29.9,    11.0,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.38,   17.95,    7.76,   12.73,   12.64,
871,2015-01-01,07:00,     7.7,    12.1,   -11.0,      32,    16.9,    29.9,    10.8,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.32,   17.97,    7.68,   12.76,   12.64,
871,2015-01-01,08:00,     7.7,    12.1,    -9.8,      31,    16.7,    29.8,    10.7,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.20,   17.89,    7.64,   13.30,   12.64,
871,2015-01-01,09:00,     7.7,    12.2,    -6.5,-99.9,    16.9,    29.8,    11.1,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.32,   17.90,    7.78,   14.25,   12.64,
871,2015-01-01,10:00,     7.7,    12.2,    -3.8,-99.9,    16.8,    29.8,    11.1,    -0.5,     0.1,     0.8,     0.2,     0.1,     0.2,   10.24,   17.90,    7.78,   14.22,   12.64,
871,2015-01-01,11:00,     7.8,    12.3,    -6.1,-99.9,    16.6,    29.8,    11.0,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.15,   17.90,    7.75,   14.18,   12.65,
871,2015-01-01,12:00,     7.8,    12.3,    -4.3,      31,    16.6,    29.7,    11.2,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.17,   17.87,    7.83,   14.15,   12.65,
871,2015-01-01,13:00,     7.8,    12.3,    -4.4,      31,    16.5,    29.8,    11.1,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.11,   17.89,    7.80,   14.14,   12.67,
871,2015-01-01,14:00,     7.8,    12.3,    -5.3,-99.9,    16.3,    29.8,    10.9,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.03,   17.89,    7.72,   14.13,   12.67,
871,2015-01-01,15:00,     7.8,    12.3,    -4.6,-99.9,    16.3,    29.8,    11.0,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.02,   17.89,    7.76,   13.61,   12.67,
871,2015-01-01,16:00,     7.8,    12.3,    -5.0,-99.9,    16.7,    29.7,    11.0,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.20,   17.81,    7.76,   13.30,   12.67,
871,2015-01-01,17:00,     7.8,    12.3,    -6.3,-99.9,    16.7,    29.8,    11.2,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.20,   17.89,    7.81,   13.10,   12.67,
871,2015-01-01,18:00,     7.8,    12.3,    -7.6,-99.9,    16.6,    29.8,    11.0,    -0.6,     0.1,     0.8,     0.2,     0.1,     0.2,   10.16,   17.89,    7.76,   13.00,   12.68,
871,2015-01-01,19:00,     7.8,    12.3,    -5.8,-99.9,    16.8,    29.8,    11.1,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.25,   17.89,    7.78,   12.90,   12.67,
871,2015-01-01,20:00,     7.8,    12.3,    -6.4,-99.9,    16.8,    29.8,    11.1,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.25,   17.89,    7.78,   12.90,   12.68,
871,2015-01-01,21:00,     7.8,    12.3,    -7.7,-99.9,    16.7,    29.8,    11.2,    -0.6,     0.1,     0.8,     0.2,     0.1,     0.2,   10.21,   17.89,    7.83,   12.89,   12.68,
871,2015-01-01,22:00,     7.8,    12.2,    -9.5,-99.9,    16.9,    29.7,    11.1,    -0.5,     0.0,     0.8,     0.2,     0.1,     0.2,   10.28,   17.81,    7.80,   12.88,   12.68,
871,2015-01-01,23:00,     7.7,    12.2,    -9.7,-99.9,    16.6,    29.7,    11.1,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.18,   17.82,    7.79,   12.74,   12.67,
871,2015-01-02,00:00,     7.7,    12.2,   -10.7,      31,    16.5,    29.7,    11.2,    -0.6,     0.1,     0.8,     0.2,     0.1,     0.2,   10.13,   17.82,    7.84,   12.70,   12.67,
871,2015-01-02,01:00,     7.7,    12.2,   -11.3,      31,    16.7,    29.7,    11.5,    -0.6,     0.1,     0.8,     0.2,     0.1,     0.2,   10.21,   17.82,    7.94,   12.74,   12.67,
871,2015-01-02,02:00,     7.7,    12.2,    -7.6,      31,    16.7,    29.7,    11.4,    -0.6,     0.0,     0.8,     0.2,     0.1,     0.2,   10.21,   17.81,    7.91,   12.77,   12.67,
