
Idaho (PST) SNOTEL Site Wilson Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 27 08:34:15 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,SMS.I-1:-2 (pct)  (silt),SMS.I-1:-8 (pct)  (silt),SMS.I-1:-20 (pct)  (silt),STO.I-1:-2 (degC) ,STO.I-1:-8 (degC) ,STO.I-1:-20 (degC) ,SAL.I-1:-2 (gram) ,SAL.I-1:-8 (gram) ,SAL.I-1:-20 (gram) ,RDC.I-1:-2 (unit) ,RDC.I-1:-8 (unit) ,RDC.I-1:-20 (unit) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,
871,2012-01-01,00:00,     2.6,     5.9,    -5.8,       9,     8.9,     0.0,     5.2,    -1.0,    -1.0,    -0.2,     0.1,     1.6,     0.2,    6.95,    3.19,    5.58,   12.92,   13.47,
871,2012-01-01,01:00,     2.5,     5.7,    -5.1,       9,     8.7,     0.0,     5.1,    -1.0,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.88,    3.16,    5.53,   12.77,   13.45,
871,2012-01-01,02:00,     2.5,     5.7,    -5.9,       9,     8.8,     0.0,     5.4,    -1.0,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.92,    3.16,    5.67,   12.70,   13.43,
871,2012-01-01,03:00,     2.5,     5.7,    -5.1,       9,     8.8,     0.0,     5.4,    -1.0,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.93,    3.24,    5.67,   12.70,   13.41,
871,2012-01-01,04:00,     2.5,     5.8,    -5.6,       9,     8.8,     0.0,     5.4,    -1.0,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.90,    3.13,    5.67,   12.68,   13.39,
871,2012-01-01,05:00,     2.5,     5.8,    -4.3,       9,     9.0,     0.0,     5.3,    -1.0,    -1.0,    -0.2,     0.1,     1.6,     0.2,    6.98,    3.14,    5.62,   12.62,   13.38,
871,2012-01-01,06:00,     2.5,     5.8,    -3.7,       9,     8.8,     0.0,     5.2,    -1.0,    -1.0,    -0.2,     0.2,     1.7,     0.2,    6.90,    3.09,    5.58,   12.64,   13.37,
871,2012-01-01,07:00,     2.5,     5.8,    -4.3,       9,     9.0,     0.0,     5.4,    -1.0,    -1.0,    -0.2,     0.1,     1.6,     0.2,    6.98,    3.19,    5.67,   12.63,   13.34,
871,2012-01-01,08:00,     2.5,     5.8,    -2.3,       9,     9.0,     0.0,     5.4,    -1.0,    -1.0,    -0.2,     0.1,     1.6,     0.2,    6.98,    3.17,    5.67,   14.19,   13.32,
871,2012-01-01,09:00,     2.5,     5.9,     0.5,       8,     8.9,     0.0,     5.0,    -1.0,    -1.0,    -0.2,     0.2,     2.4,     0.2,    6.94,    2.05,    5.49,   14.20,   13.31,
871,2012-01-01,10:00,     2.5,     6.0,     2.0,       8,     9.1,     0.0,     4.9,    -1.1,    -1.0,    -0.2,     0.1,     3.5,     0.2,    7.02,    1.36,    5.49,   14.14,   13.29,
871,2012-01-01,11:00,     2.6,     6.1,     5.4,       7,     8.8,     0.0,     5.1,    -1.1,    -1.1,    -0.2,     0.2,   121.8,     0.2,    6.90,    0.04,    5.54,   14.08,   13.28,
871,2012-01-01,12:00,     2.6,     6.0,     5.4,       7,     8.9,     0.0,     5.2,    -1.1,    -1.1,    -0.2,     0.2,     8.8,     0.2,    6.97,    0.53,    5.58,   14.02,   13.27,
871,2012-01-01,13:00,     2.6,     6.0,     6.0,       8,     8.8,     0.0,     5.0,    -1.1,    -1.1,    -0.2,     0.2,     4.9,     0.2,    6.92,    0.96,    5.52,   14.00,   14.83,
871,2012-01-01,14:00,     2.5,     5.9,     5.1,       9,     8.8,     0.0,     5.0,    -1.1,    -1.1,    -0.2,     0.2,     6.1,     0.2,    6.92,    0.77,    5.52,   13.99,   14.82,
871,2012-01-01,15:00,     2.6,     6.0,     4.4,       9,     8.9,     0.0,     4.9,    -1.1,    -1.1,    -0.2,     0.2,     3.3,     0.2,    6.97,    1.47,    5.49,   13.99,   14.29,
871,2012-01-01,16:00,     2.6,     6.0,     2.8,       9,     9.0,     0.0,     5.3,    -1.1,    -1.0,    -0.2,     0.1,     1.6,     0.2,    7.00,    3.39,    5.61,   13.80,   13.87,
871,2012-01-01,17:00,     2.6,     6.0,     0.6,       9,     8.8,     0.0,     5.6,    -1.1,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.93,    3.37,    5.71,   13.39,   13.71,
871,2012-01-01,18:00,     2.6,     6.0,     1.5,       9,     8.8,     0.0,     5.3,    -1.1,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.92,    3.29,    5.63,   13.27,   13.62,
871,2012-01-01,19:00,     2.6,     6.0,    -0.5,       9,     8.8,     0.0,     5.0,    -1.1,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.92,    3.25,    5.53,   13.20,   13.55,
871,2012-01-01,20:00,     2.6,     5.9,    -0.2,       9,     8.9,     0.0,     5.2,    -1.1,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.97,    3.20,    5.58,   13.05,   13.51,
871,2012-01-01,21:00,     2.6,     5.9,    -0.9,       9,     8.8,     0.0,     5.0,    -1.1,    -1.0,    -0.2,     0.2,     1.6,     0.2,    6.92,    3.20,    5.53,   12.97,   13.47,
871,2012-01-01,22:00,     2.6,     5.9,    -1.4,       9,     8.8,     0.0,     5.3,    -1.1,    -1.0,    -0.2,     0.2,     1.7,     0.2,    6.92,    3.16,    5.63,   12.92,   13.43,
871,2012-01-01,23:00,     2.6,     5.9,     1.4,       9,     8.8,     0.0,     5.1,    -1.1,    -1.0,    -0.2,     0.2,     1.7,     0.2,    6.92,    3.10,    5.54,   12.85,   13.41,
