,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,2.8,-2.65E+00,-2.08E+00,-1.10E-01,-2.44E+00,2.57E+00,6.10E-01,3.00E-02,4.50E-01
2,2.8,-2.28E+00,-1.77E+00,-2.00E-02,-2.37E+00,2.34E+00,1.00E+00,4.00E-02,4.30E-01
3,2.8,-2.46E+00,-2.12E+00,-1.30E-01,-2.20E+00,2.52E+00,4.80E-01,3.00E-02,4.50E-01
4,2.8,-2.69E+00,-2.10E+00,-5.00E-02,-2.31E+00,2.42E+00,7.90E-01,4.00E-02,4.40E-01
5,2.8,-2.84E+00,-2.29E+00,-1.50E-01,-2.14E+00,2.48E+00,4.00E-01,2.00E-02,4.40E-01
6,2.8,-2.76E+00,-2.43E+00,-2.00E-01,-2.14E+00,2.61E+00,4.80E-01,3.00E-02,4.60E-01
7,2.8,-2.67E+00,-2.13E+00,-2.00E-02,-2.10E+00,2.30E+00,8.90E-01,6.00E-02,4.20E-01
8,2.8,-2.60E+00,-2.26E+00,-1.30E-01,-2.19E+00,2.52E+00,8.00E-01,4.00E-02,4.60E-01
9,2.8,-2.50E+00,-2.16E+00,-9.00E-02,-2.16E+00,2.45E+00,6.90E-01,4.00E-02,4.50E-01
10,2.8,-1.52E+00,-4.40E-01,2.30E-01,-3.46E+00,2.47E+00,-7.00E-02,2.00E-02,4.20E-01
11,2.8,-6.10E-01,3.90E-01,3.80E-01,-4.01E+00,2.60E+00,-5.40E-01,1.00E-02,4.30E-01
12,2.8,3.00E-02,7.90E-01,4.60E-01,-4.10E+00,2.54E+00,2.00E-02,3.00E-02,4.40E-01
13,2.8,3.50E-01,9.50E-01,4.60E-01,-3.98E+00,2.47E+00,2.00E-02,2.00E-02,4.30E-01
14,2.8,6.30E-01,1.12E+00,5.20E-01,-3.88E+00,2.28E+00,2.10E-01,1.00E-02,4.10E-01
15,2.8,6.90E-01,1.05E+00,4.60E-01,-3.87E+00,2.34E+00,3.60E-01,2.00E-02,4.20E-01
16,2.8,5.60E-01,8.90E-01,4.00E-01,-3.73E+00,2.31E+00,2.10E-01,2.00E-02,4.00E-01
17,2.8,-2.60E-01,9.00E-02,2.70E-01,-3.29E+00,2.27E+00,3.60E-01,2.00E-02,4.00E-01
18,2.8,-1.67E+00,-1.22E+00,3.00E-02,-2.60E+00,2.35E+00,1.50E-01,2.00E-02,4.10E-01
19,2.8,-2.23E+00,-1.62E+00,-8.00E-02,-2.51E+00,2.48E+00,-1.00E-02,2.00E-02,4.20E-01
20,2.8,-2.41E+00,-1.66E+00,-4.00E-02,-2.55E+00,2.41E+00,3.40E-01,2.00E-02,4.20E-01
21,2.8,-2.50E+00,-1.79E+00,-1.00E-02,-2.44E+00,2.34E+00,4.00E-01,2.00E-02,4.20E-01
22,2.8,-2.58E+00,-1.76E+00,0.00E+00,-2.32E+00,2.21E+00,4.60E-01,1.00E-02,4.10E-01
23,2.8,-2.68E+00,-1.89E+00,-3.00E-02,-2.27E+00,2.25E+00,4.70E-01,1.00E-02,4.10E-01
24,2.8,-2.79E+00,-1.95E+00,-3.00E-02,-2.21E+00,2.22E+00,4.60E-01,0.00E+00,4.10E-01
25,2.8,-2.81E+00,-1.98E+00,-3.00E-02,-2.17E+00,2.20E+00,5.10E-01,0.00E+00,4.10E-01
26,2.8,-2.82E+00,-2.09E+00,-7.00E-02,-2.09E+00,2.23E+00,5.30E-01,1.00E-02,4.10E-01
27,2.8,-2.86E+00,-2.12E+00,-8.00E-02,-2.05E+00,2.21E+00,4.70E-01,0.00E+00,4.10E-01
28,2.8,-2.59E+00,-1.86E+00,-2.00E-02,-2.02E+00,2.05E+00,9.30E-01,0.00E+00,4.00E-01
29,2.8,-2.19E+00,-1.61E+00,9.00E-02,-2.07E+00,1.93E+00,1.36E+00,2.00E-02,3.90E-01
30,2.8,-2.18E+00,-1.66E+00,7.00E-02,-1.98E+00,1.90E+00,1.43E+00,2.00E-02,3.90E-01
31,2.8,-1.87E+00,-1.34E+00,1.60E-01,-2.08E+00,1.76E+00,1.86E+00,2.00E-02,3.80E-01
32,2.8,-2.35E+00,-1.95E+00,-2.00E-02,-1.93E+00,2.09E+00,9.50E-01,2.00E-02,4.10E-01
33,2.8,-2.20E+00,-1.68E+00,5.00E-02,-2.01E+00,2.00E+00,1.04E+00,0.00E+00,4.00E-01
34,2.8,-1.27E+00,-4.70E-01,1.50E-01,-3.15E+00,2.40E+00,-7.00E-01,-4.00E-02,4.20E-01
35,2.8,-2.30E-01,6.50E-01,3.90E-01,-3.73E+00,2.25E+00,-4.00E-01,-7.00E-02,4.20E-01
36,2.8,3.70E-01,1.16E+00,5.30E-01,-3.82E+00,2.01E+00,4.30E-01,-3.00E-02,3.90E-01
37,2.8,5.70E-01,1.14E+00,4.80E-01,-3.68E+00,2.04E+00,2.10E-01,-7.00E-02,4.10E-01
38,2.8,5.30E-01,8.90E-01,4.30E-01,-3.47E+00,2.00E+00,5.60E-01,-1.00E-02,3.80E-01
39,2.8,4.30E-01,6.50E-01,3.70E-01,-3.27E+00,2.01E+00,7.10E-01,0.00E+00,3.80E-01
40,2.9,1.00E-01,-2.00E-02,1.90E-01,-2.99E+00,2.20E+00,8.80E-01,3.00E-02,4.00E-01
41,2.8,-2.40E-01,-2.40E-01,1.90E-01,-2.70E+00,2.03E+00,8.60E-01,1.00E-02,3.90E-01
42,2.8,-5.20E-01,-4.90E-01,1.60E-01,-2.56E+00,2.02E+00,9.30E-01,2.00E-02,3.90E-01
43,2.8,-1.06E+00,-1.14E+00,-6.00E-02,-2.31E+00,2.32E+00,2.10E-01,2.00E-02,4.10E-01
44,2.9,-1.01E+00,-9.80E-01,8.00E-02,-2.33E+00,2.08E+00,7.90E-01,2.00E-02,3.90E-01
45,2.9,-1.03E+00,-1.08E+00,4.00E-02,-2.22E+00,2.10E+00,7.70E-01,2.00E-02,4.00E-01
46,2.9,-1.40E+00,-1.38E+00,-3.00E-02,-2.17E+00,2.19E+00,8.00E-01,3.00E-02,4.10E-01
47,2.9,-1.55E+00,-1.15E+00,2.20E-01,-2.27E+00,1.85E+00,1.70E+00,6.00E-02,3.80E-01
48,2.9,-2.16E+00,-1.57E+00,1.40E-01,-2.15E+00,1.95E+00,1.24E+00,4.00E-02,3.90E-01
49,2.8,-2.55E+00,-1.93E+00,6.00E-02,-2.09E+00,2.10E+00,9.30E-01,5.00E-02,4.00E-01
50,2.8,-2.52E+00,-1.84E+00,1.10E-01,-1.99E+00,1.91E+00,1.09E+00,-1.60E-01,5.10E-01
51,2.9,-2.45E+00,-1.77E+00,1.30E-01,-2.01E+00,1.89E+00,1.24E+00,-2.00E-02,4.20E-01
52,2.9,-2.60E+00,-1.86E+00,1.20E-01,-2.06E+00,1.94E+00,1.33E+00,4.00E-02,4.00E-01
53,2.9,-2.60E+00,-1.89E+00,1.20E-01,-1.98E+00,1.92E+00,1.32E+00,3.00E-02,4.00E-01
54,2.9,-2.40E+00,-1.75E+00,1.40E-01,-1.98E+00,1.84E+00,1.65E+00,4.00E-02,3.90E-01
55,2.8,-2.38E+00,-1.69E+00,1.40E-01,-1.95E+00,1.79E+00,1.59E+00,-2.00E-02,4.20E-01
56,2.8,-2.59E+00,-2.00E+00,6.00E-02,-1.89E+00,1.98E+00,1.26E+00,4.00E-02,4.00E-01
57,2.9,-2.99E+00,-2.31E+00,-1.90E-01,-1.88E+00,2.28E+00,5.00E-02,-4.00E-02,4.30E-01
58,2.9,-2.06E+00,-8.70E-01,9.00E-02,-3.21E+00,2.49E+00,-8.40E-01,-3.00E-02,4.10E-01
59,2.8,-1.19E+00,-1.20E-01,2.90E-01,-3.69E+00,2.58E+00,-1.06E+00,1.00E-02,4.20E-01
60,2.9,-6.50E-01,2.50E-01,3.60E-01,-3.61E+00,2.47E+00,-8.60E-01,-4.00E-02,4.50E-01
61,2.9,-4.00E-02,5.30E-01,4.40E-01,-3.60E+00,2.39E+00,-6.00E-01,-1.00E-02,4.30E-01
62,2.9,2.10E-01,6.00E-01,4.20E-01,-3.52E+00,2.37E+00,-5.40E-01,0.00E+00,4.20E-01
63,2.9,2.50E-01,5.00E-01,3.60E-01,-3.41E+00,2.38E+00,-5.90E-01,-1.00E-02,4.20E-01
64,2.9,5.00E-02,2.20E-01,2.20E-01,-3.27E+00,2.45E+00,-8.20E-01,-1.00E-02,4.20E-01
65,2.9,-4.90E-01,-2.20E-01,6.00E-02,-3.23E+00,2.61E+00,-1.24E+00,-1.00E-02,4.10E-01
66,2.9,-1.92E+00,-1.46E+00,-1.80E-01,-2.74E+00,2.71E+00,-7.80E-01,0.00E+00,4.40E-01
67,2.9,-2.28E+00,-1.59E+00,-1.30E-01,-2.90E+00,2.69E+00,5.00E-02,2.00E-02,4.50E-01
68,2.9,-2.42E+00,-1.68E+00,-9.00E-02,-2.75E+00,2.54E+00,2.30E-01,2.00E-02,4.40E-01
69,2.9,-2.51E+00,-1.81E+00,-1.20E-01,-2.66E+00,2.56E+00,2.30E-01,2.00E-02,4.40E-01
70,2.9,-2.53E+00,-1.86E+00,-1.20E-01,-2.59E+00,2.53E+00,3.20E-01,2.00E-02,4.40E-01
71,2.9,-2.47E+00,-1.87E+00,-1.00E-01,-2.53E+00,2.47E+00,4.90E-01,2.00E-02,4.40E-01
72,2.9,-2.46E+00,-1.90E+00,-1.40E-01,-2.44E+00,2.47E+00,5.30E-01,2.00E-02,4.40E-01
73,2.9,-2.53E+00,-2.01E+00,-1.70E-01,-2.35E+00,2.49E+00,5.00E-01,2.00E-02,4.40E-01
74,2.9,-2.62E+00,-2.05E+00,-1.30E-01,-2.32E+00,2.43E+00,6.90E-01,4.00E-02,4.40E-01
75,2.9,-2.75E+00,-2.17E+00,-1.50E-01,-2.21E+00,2.41E+00,5.00E-01,2.00E-02,4.30E-01
76,2.9,-2.76E+00,-2.23E+00,-1.80E-01,-2.23E+00,2.48E+00,5.90E-01,3.00E-02,4.40E-01
77,2.9,-2.80E+00,-2.35E+00,-2.50E-01,-2.22E+00,2.59E+00,5.90E-01,3.00E-02,4.60E-01
78,2.8,-2.91E+00,-2.24E+00,-1.20E-01,-2.04E+00,2.27E+00,7.20E-01,3.00E-02,4.20E-01
79,2.8,-3.03E+00,-2.52E+00,-2.60E-01,-2.10E+00,2.57E+00,3.20E-01,3.00E-02,4.50E-01
80,2.8,-2.95E+00,-2.50E+00,-2.70E-01,-2.13E+00,2.60E+00,5.90E-01,3.00E-02,4.60E-01
81,2.9,-2.84E+00,-2.27E+00,-1.90E-01,-2.12E+00,2.44E+00,5.40E-01,3.00E-02,4.40E-01
82,2.9,-1.91E+00,-5.60E-01,1.50E-01,-3.54E+00,2.42E+00,2.10E-01,3.00E-02,4.10E-01
83,2.9,-1.15E+00,5.00E-02,2.30E-01,-3.93E+00,2.66E+00,-6.90E-01,1.00E-02,4.30E-01
84,2.9,-4.10E-01,7.00E-02,2.10E-01,-3.74E+00,2.82E+00,-1.03E+00,3.00E-02,4.50E-01
85,2.9,1.00E-01,2.60E-01,2.50E-01,-3.69E+00,2.82E+00,-7.50E-01,6.00E-02,4.60E-01
86,2.9,-5.00E-02,-2.10E-01,-1.00E-01,-3.42E+00,3.15E+00,-1.96E+00,-2.00E-02,4.80E-01
87,2.9,3.70E-01,1.90E-01,1.60E-01,-3.38E+00,2.75E+00,-9.70E-01,4.00E-02,4.40E-01
88,2.9,3.40E-01,1.60E-01,7.00E-02,-3.28E+00,2.66E+00,-1.00E+00,0.00E+00,4.20E-01
89,2.9,-6.00E-02,-1.10E-01,4.00E-02,-3.32E+00,2.69E+00,-9.10E-01,2.00E-02,4.20E-01
90,2.9,-1.31E+00,-1.02E+00,5.00E-02,-2.80E+00,2.44E+00,2.00E-01,6.00E-02,4.10E-01
91,2.9,-2.15E+00,-1.53E+00,-1.10E-01,-2.75E+00,2.56E+00,-4.00E-02,2.00E-02,4.30E-01
92,2.9,-2.19E+00,-1.52E+00,-9.00E-02,-2.62E+00,2.43E+00,2.20E-01,2.00E-02,4.20E-01
93,2.9,-2.36E+00,-1.87E+00,-1.30E-01,-2.42E+00,2.42E+00,5.80E-01,2.00E-02,4.30E-01
94,2.9,-2.48E+00,-2.04E+00,-1.80E-01,-2.47E+00,2.58E+00,4.90E-01,3.00E-02,4.50E-01
95,2.9,-2.57E+00,-2.16E+00,-2.00E-01,-2.37E+00,2.58E+00,4.60E-01,3.00E-02,4.50E-01
96,2.9,-2.80E+00,-2.34E+00,-2.30E-01,-2.12E+00,2.48E+00,4.90E-01,3.00E-02,4.40E-01
97,2.9,-2.45E+00,-2.07E+00,-1.60E-01,-2.29E+00,2.45E+00,8.80E-01,4.00E-02,4.40E-01
98,2.9,-2.64E+00,-2.32E+00,-2.70E-01,-2.18E+00,2.60E+00,4.70E-01,3.00E-02,4.60E-01
99,2.9,-2.74E+00,-2.42E+00,-3.00E-01,-2.05E+00,2.58E+00,1.90E-01,2.00E-02,4.50E-01
100,2.9,-2.71E+00,-2.36E+00,-2.60E-01,-2.06E+00,2.51E+00,4.20E-01,2.00E-02,4.50E-01
101,2.9,-2.74E+00,-2.48E+00,-3.00E-01,-2.00E+00,2.57E+00,2.80E-01,2.00E-02,4.50E-01
102,2.9,-2.54E+00,-2.41E+00,-2.60E-01,-1.99E+00,2.52E+00,7.20E-01,4.00E-02,4.50E-01
103,2.9,-2.52E+00,-2.42E+00,-2.60E-01,-1.92E+00,2.51E+00,4.50E-01,3.00E-02,4.50E-01
104,2.9,-2.08E+00,-1.95E+00,-1.00E-02,-2.13E+00,2.24E+00,1.68E+00,9.00E-02,4.30E-01
105,2.9,-2.24E+00,-2.12E+00,-8.00E-02,-1.98E+00,2.31E+00,1.26E+00,8.00E-02,4.30E-01
106,2.9,-2.19E+00,-2.19E+00,-1.20E-01,-2.06E+00,2.47E+00,1.10E+00,8.00E-02,4.50E-01
107,2.9,-1.55E+00,-1.19E+00,5.00E-02,-2.87E+00,2.58E+00,2.60E-01,7.00E-02,4.40E-01
108,2.9,-6.40E-01,-1.00E-02,1.90E-01,-3.74E+00,2.72E+00,-6.70E-01,5.00E-02,4.30E-01
109,2.9,1.70E-01,3.70E-01,2.30E-01,-3.70E+00,2.75E+00,-5.10E-01,5.00E-02,4.50E-01
110,2.9,2.30E-01,3.80E-01,2.50E-01,-3.69E+00,2.63E+00,-2.40E-01,5.00E-02,4.30E-01
111,2.9,5.60E-01,1.00E+00,4.70E-01,-3.80E+00,2.18E+00,7.70E-01,6.00E-02,3.90E-01
112,2.9,4.60E-01,1.03E+00,5.10E-01,-3.97E+00,2.18E+00,1.16E+00,7.00E-02,4.00E-01
113,2.9,-2.80E-01,3.80E-01,3.70E-01,-3.88E+00,2.36E+00,5.80E-01,7.00E-02,4.00E-01
114,2.9,-1.21E+00,-6.50E-01,2.00E-01,-3.21E+00,2.33E+00,1.30E+00,8.00E-02,4.20E-01
115,2.9,-1.87E+00,-9.50E-01,1.90E-01,-2.93E+00,2.16E+00,1.19E+00,7.00E-02,4.00E-01
116,2.9,-2.06E+00,-1.14E+00,1.90E-01,-2.89E+00,2.17E+00,1.34E+00,8.00E-02,4.10E-01
117,2.9,-2.26E+00,-1.35E+00,1.10E-01,-2.76E+00,2.24E+00,1.20E+00,8.00E-02,4.10E-01
118,2.9,-2.27E+00,-1.57E+00,7.00E-02,-2.77E+00,2.38E+00,1.29E+00,8.00E-02,4.40E-01
119,2.9,-2.31E+00,-1.48E+00,1.00E-01,-2.59E+00,2.18E+00,1.39E+00,8.00E-02,4.10E-01
120,2.9,-2.26E+00,-1.51E+00,1.00E-01,-2.60E+00,2.19E+00,1.58E+00,8.00E-02,4.20E-01
121,2.9,-2.46E+00,-1.70E+00,3.00E-02,-2.44E+00,2.22E+00,1.30E+00,7.00E-02,4.20E-01
122,2.9,-2.43E+00,-1.69E+00,5.00E-02,-2.47E+00,2.20E+00,1.58E+00,8.00E-02,4.20E-01
123,2.9,-2.48E+00,-1.76E+00,8.00E-02,-2.37E+00,2.14E+00,1.53E+00,8.00E-02,4.10E-01
124,2.9,-2.60E+00,-1.92E+00,3.00E-02,-2.37E+00,2.25E+00,1.42E+00,8.00E-02,4.30E-01
125,2.9,-2.68E+00,-1.89E+00,5.00E-02,-2.21E+00,2.11E+00,1.35E+00,7.00E-02,4.10E-01
126,2.9,-2.65E+00,-1.92E+00,6.00E-02,-2.23E+00,2.11E+00,1.67E+00,8.00E-02,4.20E-01
127,2.9,-2.71E+00,-1.99E+00,6.00E-02,-2.16E+00,2.08E+00,1.78E+00,9.00E-02,4.20E-01
128,2.9,-2.69E+00,-1.98E+00,6.00E-02,-2.21E+00,2.11E+00,1.68E+00,9.00E-02,4.20E-01
129,2.9,-2.68E+00,-2.00E+00,1.00E-02,-2.26E+00,2.26E+00,1.24E+00,9.00E-02,4.30E-01
130,2.9,-2.08E+00,-5.90E-01,3.00E-02,-3.77E+00,2.76E+00,-1.03E+00,-1.00E-02,4.30E-01
131,2.9,-1.36E+00,-7.00E-02,2.80E-01,-4.03E+00,2.70E+00,-4.90E-01,7.00E-02,4.30E-01
132,2.9,-1.06E+00,3.00E-02,2.80E-01,-3.92E+00,2.66E+00,-6.10E-01,5.00E-02,4.30E-01
133,2.9,-5.10E-01,4.00E-02,1.80E-01,-3.71E+00,2.76E+00,-1.00E+00,4.00E-02,4.40E-01
134,2.9,-6.80E-01,-4.40E-01,-1.70E-01,-3.57E+00,3.20E+00,-2.13E+00,-2.00E-02,4.80E-01
135,2.9,-5.80E-01,-5.00E-02,6.00E-02,-3.62E+00,2.76E+00,-1.08E+00,2.00E-02,4.30E-01
136,2.9,-1.11E+00,-9.10E-01,-6.00E-02,-3.04E+00,2.71E+00,-4.00E-01,3.00E-02,4.40E-01
137,2.9,-1.62E+00,-1.39E+00,-1.70E-01,-2.93E+00,2.86E+00,-4.10E-01,4.00E-02,4.60E-01
138,2.9,-1.98E+00,-1.51E+00,-1.50E-01,-2.73E+00,2.65E+00,-2.70E-01,3.00E-02,4.40E-01
139,2.9,-2.23E+00,-1.71E+00,-1.80E-01,-2.63E+00,2.64E+00,-2.40E-01,3.00E-02,4.40E-01
140,2.9,-2.41E+00,-1.76E+00,-2.00E-01,-2.59E+00,2.59E+00,-8.00E-02,2.00E-02,4.40E-01
141,2.9,-2.65E+00,-2.05E+00,-2.60E-01,-2.53E+00,2.69E+00,-1.70E-01,2.00E-02,4.50E-01
142,2.9,-2.84E+00,-2.33E+00,-2.90E-01,-2.20E+00,2.57E+00,-2.00E-02,1.00E-02,4.40E-01
143,2.9,-2.80E+00,-2.22E+00,-2.70E-01,-2.25E+00,2.54E+00,9.00E-02,1.00E-02,4.40E-01
144,2.9,-2.84E+00,-2.24E+00,-2.90E-01,-2.10E+00,2.48E+00,-2.00E-02,0.00E+00,4.30E-01
145,2.9,-2.22E+00,-1.62E+00,5.00E-02,-2.34E+00,2.11E+00,1.60E+00,8.00E-02,4.10E-01
146,2.9,-2.15E+00,-1.53E+00,1.20E-01,-2.45E+00,2.04E+00,2.00E+00,8.00E-02,4.10E-01
147,2.9,-2.23E+00,-1.42E+00,1.60E-01,-2.38E+00,1.89E+00,2.11E+00,8.00E-02,3.90E-01
148,2.9,-2.35E+00,-1.75E+00,4.00E-02,-2.44E+00,2.19E+00,1.92E+00,9.00E-02,4.30E-01
149,2.9,-2.19E+00,-1.60E+00,1.30E-01,-2.47E+00,2.06E+00,2.28E+00,9.00E-02,4.20E-01
150,2.9,-2.00E+00,-1.14E+00,2.80E-01,-2.50E+00,1.69E+00,3.13E+00,9.00E-02,3.90E-01
151,2.9,-1.97E+00,-1.02E+00,3.50E-01,-2.53E+00,1.58E+00,3.24E+00,9.00E-02,3.80E-01
152,2.9,-2.05E+00,-1.23E+00,2.50E-01,-2.47E+00,1.74E+00,2.99E+00,1.00E-01,3.90E-01
153,2.9,-1.77E+00,-7.90E-01,4.40E-01,-2.60E+00,1.46E+00,3.58E+00,9.00E-02,3.70E-01
154,2.9,-9.90E-01,6.20E-01,6.60E-01,-4.00E+00,1.74E+00,2.58E+00,8.00E-02,3.70E-01
155,2.9,-1.70E-01,1.52E+00,8.20E-01,-4.75E+00,1.94E+00,2.26E+00,9.00E-02,4.00E-01
156,2.9,4.30E-01,2.04E+00,9.40E-01,-4.64E+00,1.68E+00,2.52E+00,8.00E-02,3.80E-01
157,2.9,6.80E-01,1.93E+00,8.50E-01,-4.55E+00,1.86E+00,2.16E+00,8.00E-02,4.00E-01
158,2.9,9.20E-01,2.20E+00,9.20E-01,-4.48E+00,1.64E+00,2.43E+00,7.00E-02,3.70E-01
159,2.9,9.70E-01,2.09E+00,8.60E-01,-4.50E+00,1.73E+00,2.51E+00,8.00E-02,3.80E-01
160,2.9,6.60E-01,1.79E+00,7.40E-01,-4.19E+00,1.71E+00,1.93E+00,6.00E-02,3.60E-01
161,2.9,2.30E-01,1.46E+00,6.60E-01,-4.23E+00,1.78E+00,1.98E+00,7.00E-02,3.60E-01
162,2.9,-7.80E-01,7.00E-02,3.90E-01,-3.32E+00,1.90E+00,1.83E+00,7.00E-02,3.80E-01
163,2.9,-1.17E+00,-4.20E-01,2.80E-01,-3.19E+00,2.09E+00,1.70E+00,8.00E-02,4.00E-01
164,2.9,-1.36E+00,-7.50E-01,1.90E-01,-2.99E+00,2.17E+00,1.49E+00,8.00E-02,4.10E-01
165,2.9,-1.63E+00,-9.60E-01,1.80E-01,-2.84E+00,2.15E+00,1.37E+00,8.00E-02,4.10E-01
166,2.9,-1.96E+00,-1.19E+00,1.30E-01,-2.76E+00,2.18E+00,1.33E+00,8.00E-02,4.10E-01
167,2.9,-2.10E+00,-1.30E+00,1.00E-01,-2.64E+00,2.16E+00,1.23E+00,7.00E-02,4.10E-01
168,2.9,-2.23E+00,-1.44E+00,8.00E-02,-2.51E+00,2.14E+00,1.16E+00,7.00E-02,4.00E-01
169,2.9,-2.13E+00,-1.42E+00,1.40E-01,-2.52E+00,2.08E+00,1.48E+00,8.00E-02,4.00E-01
170,2.9,-2.02E+00,-1.43E+00,1.20E-01,-2.54E+00,2.13E+00,1.72E+00,9.00E-02,4.10E-01
171,2.9,-1.96E+00,-1.49E+00,6.00E-02,-2.30E+00,2.09E+00,1.48E+00,8.00E-02,4.00E-01
172,2.9,-2.12E+00,-1.74E+00,-1.00E-02,-2.20E+00,2.19E+00,1.14E+00,7.00E-02,4.10E-01
173,2.9,-1.64E+00,-1.36E+00,1.00E-01,-2.28E+00,2.01E+00,1.86E+00,8.00E-02,4.00E-01
174,2.9,-1.71E+00,-1.59E+00,0.00E+00,-2.17E+00,2.16E+00,1.65E+00,8.00E-02,4.20E-01
175,2.9,-1.81E+00,-1.42E+00,9.00E-02,-2.21E+00,1.96E+00,1.86E+00,8.00E-02,4.00E-01
176,2.9,-1.89E+00,-1.67E+00,2.00E-02,-2.21E+00,2.16E+00,1.64E+00,9.00E-02,4.20E-01
177,2.9,-2.29E+00,-1.88E+00,-5.00E-02,-2.07E+00,2.18E+00,1.09E+00,7.00E-02,4.10E-01
178,2.9,-1.77E+00,-9.20E-01,1.20E-01,-2.96E+00,2.30E+00,4.90E-01,6.00E-02,4.10E-01
179,2.9,-7.90E-01,4.00E-01,3.50E-01,-4.09E+00,2.47E+00,1.20E-01,6.00E-02,4.20E-01
180,2.9,2.80E-01,1.06E+00,5.10E-01,-4.25E+00,2.41E+00,7.90E-01,7.00E-02,4.40E-01
181,2.9,6.20E-01,1.44E+00,6.00E-01,-4.16E+00,2.14E+00,1.09E+00,6.00E-02,4.10E-01
182,2.9,6.10E-01,1.17E+00,5.10E-01,-4.18E+00,2.30E+00,1.09E+00,7.00E-02,4.20E-01
183,2.9,3.70E-01,1.01E+00,4.70E-01,-3.97E+00,2.23E+00,7.90E-01,7.00E-02,4.00E-01
184,2.9,2.90E-01,8.50E-01,4.10E-01,-3.90E+00,2.32E+00,5.30E-01,6.00E-02,4.10E-01
185,2.9,-6.00E-01,-2.50E-01,1.90E-01,-3.17E+00,2.31E+00,5.20E-01,6.00E-02,4.10E-01
186,2.9,-1.49E+00,-1.17E+00,-4.00E-02,-2.80E+00,2.56E+00,-1.50E-01,5.00E-02,4.20E-01
187,2.9,-1.99E+00,-1.44E+00,-8.00E-02,-2.82E+00,2.61E+00,1.50E-01,6.00E-02,4.40E-01
188,2.9,-2.16E+00,-1.57E+00,-5.00E-02,-2.64E+00,2.48E+00,1.90E-01,6.00E-02,4.20E-01
189,2.9,-2.55E+00,-1.73E+00,-1.50E-01,-2.67E+00,2.54E+00,1.20E-01,3.00E-02,4.40E-01
190,2.9,-2.62E+00,-1.75E+00,-1.30E-01,-2.59E+00,2.44E+00,2.60E-01,2.00E-02,4.30E-01
191,2.9,-2.61E+00,-1.81E+00,-1.40E-01,-2.61E+00,2.48E+00,5.10E-01,3.00E-02,4.40E-01
192,2.9,-2.64E+00,-1.81E+00,-1.20E-01,-2.46E+00,2.36E+00,5.20E-01,2.00E-02,4.20E-01
193,2.9,-2.64E+00,-1.83E+00,-9.00E-02,-2.38E+00,2.27E+00,6.50E-01,2.00E-02,4.20E-01
194,2.9,-2.77E+00,-1.98E+00,-1.50E-01,-2.25E+00,2.30E+00,6.00E-01,2.00E-02,4.20E-01
195,2.9,-3.14E+00,-2.51E+00,-3.10E-01,-2.08E+00,2.59E+00,-1.00E-01,2.00E-02,4.40E-01
196,2.9,-2.88E+00,-2.22E+00,-1.80E-01,-2.21E+00,2.40E+00,6.20E-01,3.00E-02,4.30E-01
197,2.9,-3.04E+00,-2.32E+00,-2.10E-01,-2.12E+00,2.40E+00,4.70E-01,3.00E-02,4.30E-01
198,2.9,-3.09E+00,-2.33E+00,-2.30E-01,-2.03E+00,2.34E+00,5.10E-01,2.00E-02,4.30E-01
199,2.9,-2.91E+00,-2.20E+00,-1.90E-01,-2.11E+00,2.29E+00,7.80E-01,3.00E-02,4.30E-01
200,2.9,-3.01E+00,-2.29E+00,-1.90E-01,-1.99E+00,2.26E+00,6.00E-01,2.00E-02,4.20E-01
201,2.9,-2.98E+00,-2.42E+00,-3.20E-01,-2.13E+00,2.60E+00,-4.00E-02,2.00E-02,4.50E-01
202,2.9,-1.95E+00,-5.20E-01,7.00E-02,-3.88E+00,2.84E+00,-1.21E+00,2.00E-02,4.40E-01
203,2.9,-1.34E+00,1.30E-01,2.70E-01,-4.04E+00,2.58E+00,-5.80E-01,2.00E-02,4.20E-01
204,2.9,-4.70E-01,7.90E-01,4.50E-01,-4.08E+00,2.30E+00,1.00E-01,2.00E-02,4.10E-01
205,2.9,1.90E-01,9.00E-01,3.60E-01,-3.82E+00,2.38E+00,-3.40E-01,1.00E-02,4.20E-01
206,2.9,3.40E-01,8.30E-01,3.10E-01,-3.76E+00,2.46E+00,-4.80E-01,1.00E-02,4.20E-01
207,2.9,4.10E-01,8.00E-01,3.30E-01,-3.66E+00,2.34E+00,-2.80E-01,0.00E+00,4.10E-01
208,2.9,2.30E-01,5.70E-01,2.20E-01,-3.54E+00,2.39E+00,-4.10E-01,0.00E+00,4.10E-01
209,2.9,-3.10E-01,1.20E-01,1.10E-01,-3.45E+00,2.49E+00,-6.80E-01,1.00E-02,4.00E-01
210,2.9,-1.76E+00,-1.21E+00,-1.00E-01,-2.75E+00,2.55E+00,-5.50E-01,3.00E-02,4.20E-01
211,2.9,-2.36E+00,-1.38E+00,-1.30E-01,-2.75E+00,2.44E+00,-2.40E-01,0.00E+00,4.20E-01
212,2.9,-2.50E+00,-1.49E+00,-5.00E-02,-2.76E+00,2.37E+00,9.00E-02,1.00E-02,4.10E-01
213,2.9,-2.53E+00,-1.56E+00,-5.00E-02,-2.71E+00,2.34E+00,3.40E-01,2.00E-02,4.10E-01
