,PREC.I.1..in.,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
23455,8.3,1.75E+00,-4.80E-01,-1.70E-01,-6.00E-01,8.50E-01,-1.83E+00,-4.00E-02,1.10E-01
23456,8.3,2.57E+00,1.40E-01,0.00E+00,-8.10E-01,8.10E-01,-1.57E+00,-2.00E-02,1.20E-01
23457,8.3,2.96E+00,2.90E-01,-1.00E-02,-7.90E-01,8.90E-01,-1.84E+00,-2.00E-02,1.30E-01
23458,8.3,3.11E+00,5.00E-01,6.00E-02,-8.90E-01,8.10E-01,-1.85E+00,-2.00E-02,1.10E-01
23459,8.3,3.13E+00,2.50E-01,8.00E-01,-1.34E+00,3.60E-01,-2.11E+00,-3.00E-02,1.00E-02
23460,8.3,3.04E+00,4.00E-02,6.80E-01,-1.22E+00,4.00E-01,-2.46E+00,-5.00E-02,0.00E+00
23461,8.3,3.19E+00,1.40E-01,7.20E-01,-1.17E+00,1.90E-01,-1.96E+00,-3.00E-02,-4.00E-02
23462,8.2,3.05E+00,-2.70E-01,5.30E-01,-9.10E-01,2.60E-01,-2.40E+00,-5.00E-02,-5.00E-02
23463,8.3,2.93E+00,-3.30E-01,5.50E-01,-8.80E-01,7.00E-02,-1.86E+00,-3.00E-02,-8.00E-02
23464,8.3,2.60E+00,-7.00E-01,3.30E-01,-7.10E-01,1.70E-01,-2.16E+00,-4.00E-02,-8.00E-02
23465,8.3,2.51E+00,-5.00E-01,5.50E-01,-7.40E-01,-3.20E-01,-5.60E-01,-1.00E-02,-1.20E-01
23466,8.3,1.52E+00,-1.57E+00,3.90E-01,-3.00E-02,-3.20E-01,-3.90E-01,1.00E-02,-1.10E-01
23467,8.3,9.70E-01,-2.07E+00,3.30E-01,2.50E-01,-3.20E-01,-3.00E-01,0.00E+00,-1.00E-01
23468,8.3,8.10E-01,-2.04E+00,3.50E-01,2.30E-01,-3.40E-01,-1.70E-01,1.00E-02,-1.00E-01
23469,8.3,9.20E-01,-2.04E+00,4.10E-01,3.20E-01,-4.40E-01,3.40E-01,2.00E-02,-9.00E-02
23470,8.3,1.25E+00,-1.89E+00,-3.40E-01,1.00E+00,0.00E+00,7.70E-01,3.00E-02,2.00E-02
23471,8.3,9.50E-01,-1.93E+00,-3.20E-01,8.50E-01,7.00E-02,5.90E-01,3.00E-02,3.00E-02
23472,8.3,9.20E-01,-1.89E+00,-3.20E-01,8.70E-01,5.00E-02,8.00E-01,4.00E-02,4.00E-02
23473,8.3,7.70E-01,-1.98E+00,-3.40E-01,9.10E-01,8.00E-02,7.40E-01,4.00E-02,4.00E-02
23474,8.3,1.80E-01,-2.47E+00,-4.70E-01,9.60E-01,3.50E-01,1.10E-01,2.00E-02,7.00E-02
23475,8.3,6.00E-02,-2.55E+00,-5.80E-01,1.04E+00,3.80E-01,-3.40E-01,-3.00E-02,7.00E-02
23476,8.3,3.00E-02,-2.53E+00,-5.80E-01,1.05E+00,3.80E-01,-1.70E-01,-3.00E-02,7.00E-02
23477,8.3,2.60E-01,-2.43E+00,-5.70E-01,9.20E-01,5.50E-01,-5.20E-01,-3.00E-02,9.00E-02
23478,8.3,1.13E+00,-1.67E+00,-4.40E-01,3.60E-01,8.50E-01,-1.54E+00,-2.00E-02,1.10E-01
23479,8.3,2.07E+00,-6.30E-01,-2.40E-01,-3.00E-01,9.20E-01,-1.88E+00,-3.00E-02,1.20E-01
23480,8.3,2.80E+00,6.00E-02,-3.00E-02,-6.60E-01,8.40E-01,-1.70E+00,-2.00E-02,1.20E-01
23481,8.3,3.07E+00,9.00E-02,-7.00E-02,-6.70E-01,1.00E+00,-2.16E+00,-3.00E-02,1.40E-01
23482,8.3,3.04E+00,4.00E-01,1.00E-01,-9.30E-01,8.30E-01,-2.21E+00,-3.00E-02,1.00E-01
23483,8.3,3.12E+00,4.00E-02,6.80E-01,-1.14E+00,4.70E-01,-2.60E+00,-4.00E-02,1.00E-02
23484,8.2,3.42E+00,3.10E-01,8.00E-01,-1.22E+00,2.10E-01,-1.99E+00,-3.00E-02,-2.00E-02
23485,8.2,3.43E+00,1.30E-01,7.20E-01,-1.02E+00,1.50E-01,-1.88E+00,-2.00E-02,-4.00E-02
23486,8.2,3.52E+00,1.40E-01,6.90E-01,-9.70E-01,2.00E-02,-1.52E+00,-1.00E-02,-7.00E-02
23487,8.3,3.32E+00,-4.00E-02,6.30E-01,-8.80E-01,-9.00E-02,-1.27E+00,-1.00E-02,-9.00E-02
