,SMS.I.1..8..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
49,0,-2.54E+00,-9.60E-01,-1.44E+00,-2.54E+00,-2.39E-01,-8.21E-01,8.06E-01,1.64E-01
50,0,-2.63E+00,-9.95E-01,-1.36E+00,-2.32E+00,-1.99E-01,-7.69E-01,8.16E-01,1.30E-01
51,0,-2.56E+00,-1.04E+00,-1.34E+00,-2.35E+00,-2.77E-01,-7.91E-01,8.66E-01,1.85E-01
52,0,-2.68E+00,-1.13E+00,-1.34E+00,-2.48E+00,-1.50E-01,-7.81E-01,8.93E-01,1.39E-01
53,0,-2.71E+00,-1.16E+00,-1.31E+00,-2.42E+00,-1.44E-01,-7.63E-01,9.14E-01,1.31E-01
54,0,-2.64E+00,-1.23E+00,-1.27E+00,-2.45E+00,-2.89E-01,-7.84E-01,1.01E+00,1.52E-01
55,0,-2.60E+00,-1.18E+00,-1.27E+00,-2.34E+00,-3.48E-01,-7.56E-01,9.63E-01,1.71E-01
56,0,-2.66E+00,-1.24E+00,-1.28E+00,-2.46E+00,-2.89E-01,-7.56E-01,9.90E-01,1.55E-01
57,0,-2.69E+00,-1.07E+00,-1.34E+00,-2.44E+00,-5.49E-02,-7.19E-01,9.55E-01,1.14E-01
58,0,-2.08E+00,9.46E-01,-2.29E+00,-2.63E+00,6.31E-01,-9.38E-01,1.55E-01,-8.97E-02
59,0,-1.31E+00,1.92E+00,-2.68E+00,-2.65E+00,3.88E-01,-9.88E-01,-3.30E-01,2.32E-01
60,0,-9.92E-01,2.11E+00,-2.65E+00,-2.48E+00,2.44E-01,-8.68E-01,1.08E-01,2.66E-01
61,0,-5.35E-01,2.20E+00,-2.67E+00,-2.44E+00,-2.90E-01,-9.14E-01,2.93E-01,4.55E-01
62,0,-3.46E-01,2.22E+00,-2.63E+00,-2.40E+00,-5.97E-01,-9.82E-01,2.94E-01,5.38E-01
63,0,-3.09E-01,2.12E+00,-2.59E+00,-2.38E+00,-8.56E-01,-1.10E+00,1.25E-01,6.20E-01
64,0,-3.73E-01,1.96E+00,-2.50E+00,-2.39E+00,-1.03E+00,-1.21E+00,-1.08E-01,6.77E-01
65,0,-6.64E-01,1.77E+00,-2.48E+00,-2.49E+00,-9.41E-01,-1.35E+00,-5.14E-01,6.52E-01
66,0,-1.71E+00,3.14E-01,-2.02E+00,-2.86E+00,-4.07E-01,-1.12E+00,-7.46E-04,4.30E-01
67,0,-2.18E+00,-1.45E-01,-1.98E+00,-3.29E+00,4.65E-02,-1.06E+00,1.86E-01,2.57E-01
68,0,-2.37E+00,-3.43E-01,-1.87E+00,-3.12E+00,1.54E-01,-9.83E-01,2.85E-01,1.93E-01
69,0,-2.39E+00,-4.81E-01,-1.81E+00,-3.13E+00,8.55E-02,-9.72E-01,3.99E-01,1.93E-01
70,0,-2.41E+00,-5.85E-01,-1.76E+00,-3.11E+00,2.82E-02,-9.62E-01,4.90E-01,1.90E-01
71,0,-2.45E+00,-6.94E-01,-1.73E+00,-3.10E+00,1.30E-02,-9.41E-01,5.62E-01,1.89E-01
72,0,-2.41E+00,-7.71E-01,-1.66E+00,-3.08E+00,-1.21E-01,-9.49E-01,6.58E-01,1.99E-01
73,0,-2.45E+00,-8.74E-01,-1.61E+00,-3.07E+00,-1.38E-01,-9.32E-01,7.32E-01,1.90E-01
74,0,-2.54E+00,-9.72E-01,-1.57E+00,-3.05E+00,-7.51E-02,-9.05E-01,7.85E-01,1.52E-01
75,0,-2.62E+00,-1.04E+00,-1.52E+00,-2.93E+00,-4.02E-02,-8.64E-01,8.15E-01,1.33E-01
76,0,-2.36E+00,-1.04E+00,-1.52E+00,-3.02E+00,-3.94E-01,-9.34E-01,9.00E-01,2.38E-01
77,0,-2.61E+00,-1.20E+00,-1.52E+00,-3.24E+00,-9.78E-02,-9.07E-01,9.48E-01,1.33E-01
78,0,-2.74E+00,-1.24E+00,-1.39E+00,-2.75E+00,-9.59E-02,-7.92E-01,9.67E-01,7.83E-02
79,0,-2.66E+00,-1.24E+00,-1.48E+00,-3.05E+00,-1.28E-01,-8.44E-01,9.64E-01,1.32E-01
80,0,-2.64E+00,-1.35E+00,-1.47E+00,-3.22E+00,-2.05E-01,-8.74E-01,1.07E+00,1.39E-01
81,0,-2.63E+00,-1.13E+00,-1.46E+00,-2.94E+00,-7.10E-02,-8.21E-01,9.79E-01,1.32E-01
82,0,-2.19E+00,7.76E-01,-2.34E+00,-3.10E+00,6.86E-01,-1.05E+00,1.11E-01,-1.25E-01
83,0,-1.50E+00,1.85E+00,-2.74E+00,-3.05E+00,7.78E-01,-9.68E-01,-2.20E-01,1.20E-01
84,0,-7.16E-01,2.08E+00,-2.79E+00,-2.99E+00,-2.51E-02,-9.95E-01,1.99E-01,3.83E-01
