,SMS.I.1..2..pct....silt.,V1,V2,V3,V4V,5V,V6,V7,V8
24636,8.6,-1.01E+00,-1.49E+00,-3.70E-01,-1.15E+00,1.06E-02,2.48E-02,-8.94E-02,-1.43E-01
24637,9.1,-1.08E+00,-1.46E+00,-1.92E-01,-1.21E+00,-4.03E-03,2.59E-02,-9.27E-02,3.93E-02
24638,9.6,-1.13E+00,-1.29E+00,4.17E-01,-1.40E+00,-2.92E-02,3.28E-02,-1.11E-01,4.36E-01
24639,10.4,-1.17E+00,-1.24E+00,4.03E-01,-1.38E+00,-3.49E-02,3.12E-02,-1.07E-01,4.83E-01
24640,10.4,-1.15E+00,-1.70E+00,2.03E+00,-1.85E+00,-4.25E-03,6.96E-02,-1.75E-01,-5.28E-01
24641,10.1,-1.21E+00,-1.72E+00,1.95E+00,-1.95E+00,4.64E-04,7.17E-02,-1.86E-01,-5.74E-01
24642,9.7,-1.18E+00,-1.71E+00,1.96E+00,-1.95E+00,4.20E-03,7.24E-02,-1.88E-01,-6.09E-01
24643,9.3,-1.19E+00,-1.53E+00,-6.24E-02,-1.28E+00,2.27E-02,3.47E-02,-1.07E-01,-5.34E-01
24644,8.8,-1.17E+00,-1.56E+00,-2.30E-01,-1.21E+00,2.19E-02,3.17E-02,-9.97E-02,-4.88E-01
24645,8.7,-1.11E+00,-1.59E+00,-3.23E-01,-1.16E+00,2.15E-02,2.94E-02,-9.38E-02,-4.54E-01
24646,8.2,-1.13E+00,-1.59E+00,-5.03E-01,-1.12E+00,3.00E-02,2.75E-02,-9.07E-02,-5.35E-01
24647,8.3,-1.10E+00,-1.61E+00,-4.95E-01,-1.14E+00,2.63E-02,2.70E-02,-9.06E-02,-4.68E-01
24648,7.2,-1.13E+00,-1.67E+00,-5.88E-01,-1.10E+00,2.46E-02,2.70E-02,-8.84E-02,-4.47E-01
24649,7,-1.11E+00,-1.68E+00,-7.42E-01,-1.05E+00,2.90E-02,2.51E-02,-8.41E-02,-5.01E-01
24650,7.3,-1.06E+00,-1.67E+00,-7.99E-01,-1.04E+00,3.36E-02,2.40E-02,-8.24E-02,-5.36E-01
24651,4.1,-1.12E+00,-1.75E+00,-7.82E-01,-9.83E-01,2.27E-02,3.14E-02,-1.20E-01,-4.76E-01
24652,4.7,-1.12E+00,-1.73E+00,-8.23E-01,-9.77E-01,2.45E-02,3.00E-02,-1.18E-01,-5.00E-01
24653,4,-1.08E+00,-1.80E+00,-9.51E-01,-9.37E-01,2.98E-02,2.90E-02,-1.15E-01,-5.52E-01
24654,4.2,-1.04E+00,-1.76E+00,-9.26E-01,-9.42E-01,3.08E-02,2.88E-02,-1.15E-01,-5.41E-01
24655,4,-1.03E+00,-1.78E+00,-9.47E-01,-9.42E-01,2.84E-02,2.87E-02,-1.15E-01,-5.06E-01
24656,3.7,-1.00E+00,-1.82E+00,-1.09E+00,-8.93E-01,3.68E-02,2.71E-02,-1.11E-01,-6.08E-01
24657,3.8,-1.01E+00,-1.87E+00,-1.12E+00,-9.00E-01,3.21E-02,2.63E-02,-1.10E-01,-5.53E-01
