,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,7,V8
33244,7.4,-1.21E+00,6.99E-01,-1.57E+00,3.95E-04,2.79E-01,-5.18E-01,8.98E-01,-2.37E-02
33245,7.2,-1.23E+00,6.88E-01,-1.64E+00,-4.40E-04,2.65E-01,-4.64E-01,8.88E-01,-2.75E-02
33246,7.3,-1.24E+00,6.72E-01,-1.64E+00,1.69E-04,2.85E-01,-4.78E-01,8.87E-01,-9.91E-03
33247,7.1,-1.24E+00,6.68E-01,-1.67E+00,-1.31E-03,2.54E-01,-4.82E-01,8.80E-01,-2.85E-02
33248,7.2,-1.23E+00,6.62E-01,-1.66E+00,-9.09E-04,2.64E-01,-4.81E-01,8.85E-01,-2.73E-02
33249,7.2,-1.24E+00,6.25E-01,-1.73E+00,-1.09E-03,2.71E-01,-4.39E-01,8.86E-01,-2.82E-02
33250,7.2,-1.24E+00,6.47E-01,-1.68E+00,-1.14E-03,2.64E-01,-4.85E-01,8.84E-01,-2.73E-02
33251,7.2,-1.23E+00,6.53E-01,-1.65E+00,-1.42E-03,2.57E-01,-5.35E-01,8.82E-01,-2.65E-02
33252,7.2,-1.23E+00,6.79E-01,-1.59E+00,-1.48E-03,2.49E-01,-5.91E-01,8.80E-01,-2.54E-02
33253,7.3,-1.14E+00,9.41E-01,-9.19E-01,-2.00E-03,1.64E-01,-1.18E+00,8.74E-01,-2.86E-02
33254,7.3,-1.08E+00,1.17E+00,-3.73E-01,-2.55E-03,9.15E-02,-1.67E+00,8.58E-01,-1.94E-02
33255,7.3,-1.10E+00,1.14E+00,-4.61E-01,-2.01E-03,1.14E-01,-1.60E+00,8.60E-01,-4.78E-03
33256,7.3,-1.11E+00,1.08E+00,-6.07E-01,-2.42E-03,1.20E-01,-1.47E+00,8.67E-01,-2.37E-02
33257,7.2,-1.13E+00,1.08E+00,-6.66E-01,-2.07E-03,1.31E-01,-1.40E+00,8.60E-01,-9.95E-03
33258,7.3,-1.11E+00,1.06E+00,-6.42E-01,-2.38E-03,1.25E-01,-1.43E+00,8.64E-01,-2.42E-02
33259,7.2,-1.08E+00,1.06E+00,-6.49E-01,-3.86E-03,8.65E-02,-1.42E+00,8.66E-01,2.30E-02
