,SMS.I.1..20..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
4495,6.1,-1.80E+00,-2.98E-01,-5.71E-01,-2.50E-02,-4.86E-01,-2.30E-02,-1.72E-01,1.87E-01
4496,6.1,-1.76E+00,-1.16E+00,1.90E+00,2.37E-02,-2.22E-01,1.80E+00,-2.46E-01,3.53E-01
4497,6.4,-1.87E+00,-1.04E+00,2.45E+00,2.71E-02,-2.23E-01,1.30E+00,-2.35E-01,3.33E-01
4498,6.2,-1.94E+00,-9.77E-01,2.41E+00,2.35E-02,-2.90E-01,1.32E+00,-4.27E-01,2.65E-01
4499,6.1,-1.99E+00,-9.55E-01,2.34E+00,2.14E-02,-3.15E-01,1.30E+00,-5.14E-01,2.28E-01
4500,6.2,-2.14E+00,-6.51E-01,1.87E+00,8.80E-03,-4.06E-01,7.82E-01,-7.85E-01,7.91E-02
4501,6,-2.02E+00,-5.48E-01,1.15E+00,-2.27E-03,-4.37E-01,3.86E-01,-5.27E-01,1.25E-01
4502,6,-1.93E+00,-6.83E-01,1.56E+00,5.77E-03,-3.91E-01,5.97E-01,-3.61E-01,1.98E-01
4503,5.9,-1.76E+00,-6.57E-01,1.31E+00,9.38E-04,-4.27E-01,3.77E-01,-3.44E-02,2.82E-01
4504,6.3,-1.69E+00,-5.35E-01,4.83E-01,-7.40E-03,-3.90E-01,2.80E-01,2.04E-02,2.73E-01
4505,6.3,-1.68E+00,-4.88E-01,8.63E-02,-1.22E-02,-3.97E-01,2.84E-01,1.16E-02,2.57E-01
4506,6.2,-1.80E+00,-5.06E-01,6.85E-01,-5.83E-03,-3.93E-01,2.10E-01,-4.38E-02,2.19E-01
4507,6.2,-1.84E+00,-4.48E-01,5.30E-01,-8.67E-03,-4.11E-01,1.72E-01,-1.09E-01,1.83E-01
4508,5.9,-1.75E+00,-4.94E-01,5.65E-02,-1.32E-02,-4.10E-01,2.66E-01,8.98E-03,2.13E-01
4509,5.9,-1.72E+00,-4.90E-01,-1.32E-01,-1.51E-02,-4.06E-01,2.71E-01,4.46E-02,2.23E-01
4510,6.2,-1.77E+00,-4.37E-01,-2.72E-01,-1.60E-02,-3.87E-01,2.96E-01,-7.02E-02,1.88E-01
4511,6,-1.80E+00,-4.14E-01,-3.72E-01,-1.88E-02,-4.27E-01,3.01E-01,-1.22E-01,1.54E-01
4512,6.1,-1.78E+00,-4.09E-01,-4.64E-01,-1.92E-02,-4.16E-01,2.98E-01,-1.01E-01,1.88E-01
4513,5.8,-1.76E+00,-4.26E-01,-5.62E-01,-2.10E-02,-4.35E-01,2.98E-01,-4.50E-02,1.88E-01
4514,6.1,-1.74E+00,-4.00E-01,-6.25E-01,-2.09E-02,-4.13E-01,2.79E-01,-3.24E-02,2.03E-01
4515,6.1,-1.72E+00,-3.99E-01,-7.06E-01,-2.17E-02,-4.11E-01,2.68E-01,-6.43E-04,2.13E-01
