,SMS.I.1..2..pct....silt.,V1,V2,V3,V4,V5,V6,V7,V8
1806,24.1,1.83E+00,-6.95E-01,-1.39E-01,1.62E-01,-7.68E-01,9.04E-01,-2.67E-01,-1.98E-01
1807,24.1,1.87E+00,-7.21E-01,-1.13E-01,1.59E-01,-7.48E-01,8.68E-01,-2.83E-01,-1.71E-01
1808,24.1,1.83E+00,-5.67E-01,-2.36E-03,1.66E-01,-8.28E-01,6.53E-01,-2.31E-01,-1.99E-01
1809,24.1,1.88E+00,-1.53E-01,3.07E-01,1.65E-01,-9.12E-01,1.93E-01,-1.64E-01,-1.64E-01
1810,24.1,2.05E+00,4.64E-01,8.03E-01,1.53E-01,-9.75E-01,-4.87E-01,-1.04E-01,-2.13E-02
1811,24.2,1.98E+00,4.21E-01,7.66E-01,1.63E-01,-1.03E+00,-4.78E-01,-7.80E-02,-1.16E-01
1812,24.1,2.02E+00,3.81E-01,7.70E-01,1.57E-01,-9.91E-01,-4.77E-01,-1.02E-01,-5.02E-02
1813,24.4,1.93E+00,3.78E-01,7.57E-01,1.74E-01,-1.10E+00,-4.95E-01,-6.20E-02,-1.83E-01
1814,24.2,2.28E+00,2.18E+00,5.92E-01,7.50E-02,-5.54E-01,1.15E+00,-1.42E-01,-8.04E-02
1815,24.5,2.12E+00,1.67E+00,6.37E-01,1.14E-01,-7.73E-01,6.87E-01,-9.61E-02,-1.63E-01
1816,24.5,2.20E+00,1.96E+00,6.10E-01,9.84E-02,-6.89E-01,9.54E-01,-1.21E-01,-1.28E-01
1817,24.7,2.14E+00,1.69E+00,6.47E-01,1.17E-01,-7.95E-01,7.23E-01,-1.05E-01,-1.62E-01
1818,25,2.11E+00,1.45E+00,6.77E-01,1.36E-01,-9.02E-01,5.14E-01,-1.09E-01,-1.77E-01
1819,25,2.04E+00,7.83E-01,4.34E-01,1.48E-01,-8.83E-01,6.56E-01,-1.69E-01,-1.86E-01
1820,25.1,2.01E+00,3.82E-01,2.92E-01,1.59E-01,-8.92E-01,7.75E-01,-2.14E-01,-1.90E-01
1821,25.2,2.03E+00,1.09E-01,2.17E-01,1.60E-01,-8.61E-01,8.57E-01,-2.59E-01,-1.34E-01
1822,25.2,2.01E+00,-9.19E-02,1.49E-01,1.62E-01,-8.47E-01,9.26E-01,-2.76E-01,-1.59E-01
